"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.370474572E2,5.176648194E1,5.511918906E1,1.263555514E2,1.370000005E0,3.150000000E1,8.163265228E0,4.000000000E0
1.380474605E2,5.176650080E1,5.511919099E1,1.253554796E2,1.629999995E0,2.579999924E1,1.173469353E1,4.000000000E0
1.390474638E2,5.176651086E1,5.511920725E1,1.253554856E2,1.449999928E0,2.570000076E1,9.183673859E0,4.000000000E0
1.400474670E2,5.176652083E1,5.511921655E1,1.253554716E2,7.899999619E-1,3.320000076E1,9.183673859E0,4.000000000E0
1.410474703E2,5.176652159E1,5.511922234E1,1.253554854E2,2.099999934E-1,3.379999924E1,7.653061390E0,4.000000000E0
1.420474736E2,5.176652087E1,5.511922452E1,1.253554946E2,2.800000012E-1,3.450000000E1,8.163265228E0,4.000000000E0
1.430474769E2,5.176652557E1,5.511922376E1,1.253554732E2,8.899999857E-1,2.160000038E1,1.326530647E1,5.000000000E0
1.440535008E2,5.176651995E1,5.511922334E1,1.253554950E2,8.599999547E-1,4.570000076E1,1.632653046E1,5.000000000E0
1.450535040E2,5.176651354E1,5.511922334E1,1.253555214E2,6.299999952E-1,6.300000000E1,1.683673477E1,5.000000000E0
1.460535073E2,5.176650910E1,5.511922443E1,1.253555428E2,9.999999404E-2,6.869999695E1,2.091836739E1,5.000000000E0
1.470535107E2,5.176650306E1,5.511922804E1,1.253555781E2,4.099999964E-1,6.869999695E1,2.500000000E1,5.000000000E0
1.480535140E2,5.176649753E1,5.511922787E1,1.253556003E2,2.999999821E-1,6.869999695E1,2.551020432E1,5.000000000E0
1.490535174E2,5.176649669E1,5.511923240E1,1.253556169E2,3.899999857E-1,6.869999695E1,2.551020432E1,5.000000000E0
1.500535206E2,5.176650155E1,5.511922074E1,1.253555630E2,4.499999881E-1,6.869999695E1,2.806122398E1,5.000000000E0
